"s","p","o","mapFile"
"study:RuleOutcome","  rdfs:subClassOf","study:AnalysisOutcome","study.ttl"
"study:RuleOutcome","  skos:prefLabel","""Rule outcome""","study.ttl"
"study:ScheduledActivity","  rdf:type","owl:Class","study.ttl"
"study:ScheduledActivity","  rdfs:comment","""""","study.ttl"
"study:ScheduledActivity","  rdfs:subClassOf","study:StudyActivity","study.ttl"
"study:ScheduledActivity","      rdf:type","owl:Restriction","study.ttl"
"study:ScheduledActivity","      owl:allValuesFrom","study:Date","study.ttl"
"study:ScheduledActivity","      owl:onProperty","study:hasScheduledDate","study.ttl"
"study:ScheduledActivity","  skos:definition","""An activity that is or was scheduled to occur on a HumanStudySubject at a specific date/time""","study.ttl"
"study:ScheduledActivity","  skos:prefLabel","""Scheduled activity""","study.ttl"
"study:ScheduledActivityDate","  rdf:type","owl:Class","study.ttl"
"study:ScheduledActivityDate","  rdfs:subClassOf","study:ActivityDate","study.ttl"
"study:ScheduledActivityDate","  skos:prefLabel","""Scheduled activity date""","study.ttl"
"study:SexOutcome","  rdf:type","owl:Class","study.ttl"
"study:SexOutcome","  rdfs:subClassOf","study:CategoricalOutcome","study.ttl"
"study:SexOutcome","  skos:prefLabel","""Sex outcome""","study.ttl"
"study:Site","  rdf:type","owl:Class","study.ttl"
"study:Site","  rdfs:comment","""""","study.ttl"
"study:Site","  rdfs:subClassOf","study:Organization","study.ttl"
"study:Site","  skos:definition","""""","study.ttl"
"study:Site","  skos:prefLabel","""Site""","study.ttl"
"study:SiteIdentifier","  rdf:type","owl:Class","study.ttl"
"study:SiteIdentifier","  rdfs:subClassOf","study:Identifier","study.ttl"
"study:SiteIdentifier","  skos:prefLabel","""Site identifier""","study.ttl"
"study:SiteIdentifier","  code:hasMethod","code:Method_ASSIGNED","study.ttl"
"study:Sponsor","  rdf:type","owl:Class","study.ttl"
"study:Sponsor","  rdfs:comment","""""","study.ttl"
"study:Sponsor","  rdfs:subClassOf","study:Organization","study.ttl"
"study:Sponsor","  skos:definition","""""","study.ttl"
"study:Sponsor","  skos:prefLabel","""Sponsor""","study.ttl"
"study:StartRule","  rdf:type","owl:Class","study.ttl"
"study:StartRule","  rdfs:subClassOf","study:Rule","study.ttl"
"study:StartRule","  skos:altLabel","""""","study.ttl"
"study:StartRule","  skos:prefLabel","""Start rule""","study.ttl"
"study:StartRuleComposite","  rdf:type","owl:Class","study.ttl"
"study:StartRuleComposite","  rdfs:subClassOf","study:StartRule","study.ttl"
"study:StartRuleComposite","      rdf:type","owl:Restriction","study.ttl"
"study:StartRuleComposite","      owl:allValuesFrom","study:StartRuleSimple","study.ttl"
"study:StartRuleComposite","      owl:onProperty","study:hasSubRule","study.ttl"
"study:StartRuleComposite","      rdf:type","owl:Restriction","study.ttl"
"study:StartRuleComposite","      owl:minCardinality","""2""^^xsd:nonNegativeInteger","study.ttl"
"study:StartRuleComposite","      owl:onProperty","study:hasSubRule","study.ttl"
"study:StartRuleComposite","  skos:definition","""A collection of start rules, each of which has two or more sub-rules. Each sub-rule must evaluate to TRUE for the composite start rule to be TRUE. ""","study.ttl"
"study:StartRuleComposite","  skos:prefLabel","""Start rule composite""","study.ttl"
"study:StartRuleDefault","  rdf:type","owl:Class","study.ttl"
"study:StartRuleDefault","  rdfs:subClassOf","study:StartRuleSimple","study.ttl"
"study:StartRuleDefault","  skos:definition","""Activity may start at any time""","study.ttl"
"study:StartRuleDefault","  skos:prefLabel","""Start rule default""","study.ttl"
"study:StartRuleDefault_1","  rdf:type","study:StartRuleDefault","study.ttl"
"study:StartRuleDefault_1","  skos:definition","""Activity may start at any time at the discretion of the Investigator""","study.ttl"
"study:StartRuleDefault_1","  skos:prefLabel","""Start rule default 1""","study.ttl"
"study:StartRuleDefault_1","  study:activityStatus","code:ActivityStatus_CO","study.ttl"
"study:StartRuleDefault_1","  code:outcome","code:RuleOutcome_TRUE","study.ttl"
"study:StartRuleInformedConsentGranted","  rdf:type","owl:Class","study.ttl"
"study:StartRuleInformedConsentGranted","  rdfs:subClassOf","study:StartRulePrereqActivityOutcome","study.ttl"
"study:StartRuleInformedConsentGranted","      rdf:type","owl:Restriction","study.ttl"
"study:StartRuleInformedConsentGranted","      owl:allValuesFrom","study:InformedConsent","study.ttl"
"study:StartRuleInformedConsentGranted","      owl:onProperty","study:hasPrerequisite","study.ttl"
"study:StartRuleInformedConsentGranted","      rdf:type","owl:Restriction","study.ttl"
"study:StartRuleInformedConsentGranted","      owl:hasValue","code:InformedConsentOutcome_1","study.ttl"
"study:StartRuleInformedConsentGranted","      owl:onProperty","study:hasPrereqExpectedOutcome","study.ttl"
"study:StartRuleInformedConsentGranted","  skos:definition","""Target activity starts after informed consent has been granted. ""","study.ttl"
"study:StartRuleInformedConsentGranted","  skos:prefLabel","""RULE INFORMED CONSENT GRANTED""","study.ttl"
"study:StartRuleInformedConsentGranted","  study:hasPrereqExpectedOutcome","code:InformedConsentOutcome_1","study.ttl"
"study:StartRuleInformedConsentGranted","  study:hasPrereqExpectedStatus","code:ActivityStatus_CO","study.ttl"
"study:StartRuleInformedConsentStart","  rdf:type","owl:Class","study.ttl"
"study:StartRuleInformedConsentStart","  rdfs:subClassOf","study:StartRulePrereqActivityStart","study.ttl"
"study:StartRuleInformedConsentStart","      rdf:type","owl:Restriction","study.ttl"
"study:StartRuleInformedConsentStart","      owl:allValuesFrom","study:InformedConsent","study.ttl"
"study:StartRuleInformedConsentStart","      owl:onProperty","study:hasPrerequisite","study.ttl"
"study:StartRuleInformedConsentStart","  skos:prefLabel","""Start rule informed consent started""","study.ttl"
"study:StartRuleInformedConsentStart","  study:hasPrereqExpectedStatus","code:ActivityStatus_ST","study.ttl"
"study:StartRulePrereqActivityComplete","  rdf:type","owl:Class","study.ttl"
"study:StartRulePrereqActivityComplete","  rdfs:subClassOf","study:StartRulePrerequisiteActivity","study.ttl"
"study:StartRulePrereqActivityComplete","      rdf:type","owl:Restriction","study.ttl"
"study:StartRulePrereqActivityComplete","      owl:hasValue","code:ActivityStatus_CO","study.ttl"
"study:StartRulePrereqActivityComplete","      owl:onProperty","study:hasPrereqExpectedStatus","study.ttl"
"study:StartRulePrereqActivityComplete","  skos:definition","""A collection of Start Rules that trigger, i.e. evaluate to TRUE, when the Prerequisite Activity is completed and optionally has a certain expected outcome. ""","study.ttl"
"study:StartRulePrereqActivityComplete","  skos:prefLabel","""Start rule prereq activity complete""","study.ttl"
"study:StartRulePrereqActivityOutcome","  rdf:type","owl:Class","study.ttl"
"study:StartRulePrereqActivityOutcome","  rdfs:subClassOf","study:StartRulePrereqActivityComplete","study.ttl"
"study:StartRulePrereqActivityOutcome","      rdf:type","owl:Restriction","study.ttl"
"study:StartRulePrereqActivityOutcome","      owl:allValuesFrom","study:ActivityOutcome","study.ttl"
"study:StartRulePrereqActivityOutcome","      owl:onProperty","study:hasPrereqExpectedOutcome","study.ttl"
"study:StartRulePrereqActivityOutcome","  skos:definition","""A collection of Start Rules that trigger, i.e. evaluate to TRUE, when the Prerequisite Activity is completed and has a certain expected outcome. ""","study.ttl"
"study:StartRulePrereqActivityOutcome","  skos:prefLabel","""Start rule prereq activity outcome""","study.ttl"
"study:StartRulePrereqActivityStart","  rdf:type","owl:Class","study.ttl"
"study:StartRulePrereqActivityStart","  rdfs:subClassOf","study:StartRulePrerequisiteActivity","study.ttl"
"study:StartRulePrereqActivityStart","      rdf:type","owl:Restriction","study.ttl"
"study:StartRulePrereqActivityStart","      owl:hasValue","code:ActivityStatus_ST","study.ttl"
"study:StartRulePrereqActivityStart","      owl:onProperty","study:hasPrereqExpectedStatus","study.ttl"
"study:StartRulePrereqActivityStart","  skos:definition","""A collection of Start Rules that resolve to TRUE when the prespecified Prerequisite activity starts. e.g. Screening Visit starts when Informed Consent starts. ""","study.ttl"
"study:StartRulePrereqActivityStart","  skos:prefLabel","""Start rule prereq activity start""","study.ttl"
"study:StartRulePrerequisiteActivity","  rdf:type","owl:Class","study.ttl"
"study:StartRulePrerequisiteActivity","  rdfs:subClassOf","study:StartRuleSimple","study.ttl"
"study:StartRulePrerequisiteActivity","      rdf:type","owl:Restriction","study.ttl"
"study:StartRulePrerequisiteActivity","      owl:allValuesFrom","study:PrerequisiteActivity","study.ttl"
"study:StartRulePrerequisiteActivity","      owl:onProperty","study:hasPrerequisite","study.ttl"
"study:StartRulePrerequisiteActivity","  skos:definition","""A start rule that relies on the conduct of a Prerequisite Activity""","study.ttl"
"study:StartRuleSimple","  rdf:type","owl:Class","study.ttl"
"study:StartRuleSimple","  rdfs:subClassOf","study:StartRule","study.ttl"
"study:StartRuleSimple","  skos:definition","""A start rule that is based on the evaluation of a single true/false condition, e.g. an outcome of an activity being present. Simple start rules can be combined together using an AND expression to create composite rules, such as eligibility criteria. ""","study.ttl"
"study:Study","  rdf:type","owl:Class","study.ttl"
"study:Study","  rdfs:comment","""""","study.ttl"
"study:Study","  rdfs:subClassOf","study:Activity","study.ttl"
"study:Study","  skos:broader","<http://www.bridgmodel.org/owl#Study>","study.ttl"
"study:Study","  skos:note","""The BRIDG concept Study is broader in that it includes nonclinical studies whereas this ontology is limited to human studies""","study.ttl"
"study:Study","  skos:prefLabel","""Study""","study.ttl"
"study:StudyActivity","  rdf:type","owl:Class","study.ttl"
"study:StudyActivity","      rdf:type","sp:Construct","study.ttl"
"study:StudyActivity","                sp:varName","""pldate""","study.ttl"
"study:StudyActivity","            sp:predicate","study:hasScheduledDate","study.ttl"
"study:StudyActivity","            sp:subject","spin:_this","study.ttl"
"study:StudyActivity","                sp:varName","""scheddatexsd""","study.ttl"
"study:StudyActivity","            sp:predicate","time:inXSDDateTime","study.ttl"
"study:StudyActivity","                sp:varName","""pldate""","study.ttl"
"study:StudyActivity","            sp:object","study:ScheduledActivity","study.ttl"
"study:StudyActivity","            sp:predicate","rdf:type","study.ttl"
"study:StudyActivity","            sp:subject","spin:_this","study.ttl"
"study:StudyActivity","                sp:varName","""strtrule""","study.ttl"
"study:StudyActivity","            sp:predicate","study:hasStartRule","study.ttl"
"study:StudyActivity","            sp:subject","spin:_this","study.ttl"
"study:StudyActivity","                sp:varName","""strtrulecode""","study.ttl"
"study:StudyActivity","            sp:predicate","study:hasIdentifier","study.ttl"
"study:StudyActivity","                sp:varName","""strtrule""","study.ttl"
"study:StudyActivity","                sp:varName","""anchoroutcometerm""","study.ttl"
"study:StudyActivity","            sp:predicate","study:hasPrereqExpectedOutcome","study.ttl"
"study:StudyActivity","                sp:varName","""strtrulecode""","study.ttl"
"study:StudyActivity","                sp:varName","""strtdelay""","study.ttl"
"study:StudyActivity","            sp:predicate","study:hasDelay","study.ttl"
"study:StudyActivity","                sp:varName","""strtrulecode""","study.ttl"
"study:StudyActivity","                sp:varName","""anchor""","study.ttl"
"study:StudyActivity","            sp:predicate","study:hasPrerequisite","study.ttl"
"study:StudyActivity","            sp:subject","spin:_this","study.ttl"
"study:StudyActivity","                sp:varName","""anchoroutcome""","study.ttl"
"study:StudyActivity","            sp:predicate","code:outcome","study.ttl"
"study:StudyActivity","                sp:varName","""anchor""","study.ttl"
"study:StudyActivity","            rdf:type","sp:Filter","study.ttl"
"study:StudyActivity","                rdf:type","sp:eq","study.ttl"
"study:StudyActivity","                    sp:varName","""anchoroutcometerm""","study.ttl"
"study:StudyActivity","                    sp:varName","""anchoroutcome""","study.ttl"
"study:StudyActivity","                sp:varName","""anchordate""","study.ttl"
"study:StudyActivity","            sp:predicate","study:hasDate","study.ttl"
"study:StudyActivity","                sp:varName","""anchor""","study.ttl"
"study:StudyActivity","                sp:varName","""anchrxsddate""","study.ttl"
"study:StudyActivity","            sp:predicate","time:inXSDDateTime","study.ttl"
"study:StudyActivity","                sp:varName","""anchordate""","study.ttl"
"study:StudyActivity","            rdf:type","sp:Bind","study.ttl"
"study:StudyActivity","                rdf:type","sp:add","study.ttl"
"study:StudyActivity","                    sp:varName","""anchrxsddate""","study.ttl"
"study:StudyActivity","                    sp:varName","""strtdelay""","study.ttl"
"study:StudyActivity","                sp:varName","""scheddatexsd""","study.ttl"
"study:StudyActivity","      rdfs:comment","""derive scheduled start date based on a start rule **in progress**""","study.ttl"
"study:StudyActivity","      rdf:type","sp:Construct","study.ttl"
"study:StudyActivity","                sp:varName","""status""","study.ttl"
"study:StudyActivity","            sp:predicate","study:activityStatus","study.ttl"
"study:StudyActivity","            sp:subject","spin:_this","study.ttl"
"study:StudyActivity","                sp:varName","""outcome""","study.ttl"
"study:StudyActivity","            sp:predicate","code:outcome","study.ttl"
"study:StudyActivity","            sp:subject","spin:_this","study.ttl"
"study:StudyActivity","            rdf:type","sp:Bind","study.ttl"
"study:StudyActivity","                rdf:type","sp:if","study.ttl"
"study:StudyActivity","                    rdf:type","sp:bound","study.ttl"
"study:StudyActivity","                        sp:varName","""outcome""","study.ttl"
"study:StudyActivity","                sp:arg2","code:ActivityStatus_CO","study.ttl"
"study:StudyActivity","                sp:arg3","""""","study.ttl"
"study:StudyActivity","                sp:varName","""status""","study.ttl"
"study:StudyActivity","      rdfs:comment","""Marks an activity as COMPLETE if there is a recorded activity outcome""","study.ttl"
"study:StudyActivity","  rdfs:comment","""""","study.ttl"
"study:StudyActivity","  rdfs:subClassOf","study:Activity","study.ttl"
"study:StudyActivity","  skos:definition","""Any activity associated with the planning, conduct, analysis, and interpretation of a Study""","study.ttl"
"study:StudyActivity","  skos:prefLabel","""Activity""","study.ttl"
"study:StudyComponent","  rdf:type","owl:Class","study.ttl"
"study:StudyComponent","  rdfs:comment","""""","study.ttl"
"study:StudyComponent","  skos:definition","""""","study.ttl"
"study:StudyComponent","  skos:prefLabel","""Study component""","study.ttl"
"study:StudyIdentifier","  rdf:type","owl:Class","study.ttl"
"study:StudyIdentifier","  rdfs:subClassOf","study:Identifier","study.ttl"
"study:StudyIdentifier","  skos:prefLabel","""Study identifier""","study.ttl"
"study:StudyParticipationBegin","  rdf:type","owl:Class","study.ttl"
"study:StudyParticipationBegin","  rdfs:comment","""""","study.ttl"
"study:StudyParticipationBegin","  rdfs:subClassOf","study:BeginInstant","study.ttl"
"study:StudyParticipationBegin","  skos:definition","""""","study.ttl"
"study:StudyParticipationBegin","  skos:prefLabel","""Study participation begin""","study.ttl"
"study:StudyParticipationEnd","  rdf:type","owl:Class","study.ttl"
"study:StudyParticipationEnd","  rdfs:comment","""""","study.ttl"
"study:StudyParticipationEnd","  rdfs:subClassOf","study:EndInstant","study.ttl"
"study:StudyParticipationEnd","  skos:definition","""""","study.ttl"
"study:StudyParticipationEnd","  skos:prefLabel","""Study participation end""","study.ttl"
"study:StudyParticipationInterval","  rdf:type","owl:Class","study.ttl"
"study:StudyParticipationInterval","      rdf:type","sp:Construct","study.ttl"
"study:StudyParticipationInterval","                sp:varName","""d1""","study.ttl"
"study:StudyParticipationInterval","            sp:predicate","time:hasBeginning","study.ttl"
"study:StudyParticipationInterval","            sp:subject","spin:_this","study.ttl"
"study:StudyParticipationInterval","                sp:varName","""d2""","study.ttl"
"study:StudyParticipationInterval","            sp:predicate","time:hasEnd","study.ttl"
"study:StudyParticipationInterval","            sp:subject","spin:_this","study.ttl"
"study:StudyParticipationInterval","            rdf:type","sp:SubQuery","study.ttl"
"study:StudyParticipationInterval","                rdf:type","sp:Select","study.ttl"
"study:StudyParticipationInterval","                      sp:varName","""s""","study.ttl"
"study:StudyParticipationInterval","                      sp:varName","""s""","study.ttl"
"study:StudyParticipationInterval","                          rdf:type","sp:Min","study.ttl"
"study:StudyParticipationInterval","                              sp:varName","""startdate""","study.ttl"
"study:StudyParticipationInterval","                      sp:varName","""refstartdate""","study.ttl"
"study:StudyParticipationInterval","                          rdf:type","sp:Max","study.ttl"
"study:StudyParticipationInterval","                              sp:varName","""enddate""","study.ttl"
"study:StudyParticipationInterval","                      sp:varName","""refenddate""","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""visit""","study.ttl"
"study:StudyParticipationInterval","                      sp:predicate","study:participatesIn","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""s""","study.ttl"
"study:StudyParticipationInterval","                      sp:object","study:VisitActivity","study.ttl"
"study:StudyParticipationInterval","                      sp:predicate","rdf:type","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""visit""","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""act""","study.ttl"
"study:StudyParticipationInterval","                      sp:predicate","study:hasSubActivity","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""visit""","study.ttl"
"study:StudyParticipationInterval","                      sp:object","study:FixedDoseDrugAdministration","study.ttl"
"study:StudyParticipationInterval","                      sp:predicate","rdf:type","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""act""","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""acti""","study.ttl"
"study:StudyParticipationInterval","                      sp:predicate","study:hasInterval","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""act""","study.ttl"
"study:StudyParticipationInterval","                      sp:object","study:FixedDoseInterval","study.ttl"
"study:StudyParticipationInterval","                      sp:predicate","rdf:type","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""acti""","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""start""","study.ttl"
"study:StudyParticipationInterval","                      sp:predicate","time:hasBeginning","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""acti""","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""end""","study.ttl"
"study:StudyParticipationInterval","                      sp:predicate","time:hasEnd","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""acti""","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""startstring""","study.ttl"
"study:StudyParticipationInterval","                      sp:predicate","study:dateTimeInXSDString","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""start""","study.ttl"
"study:StudyParticipationInterval","                      rdf:type","sp:Bind","study.ttl"
"study:StudyParticipationInterval","                          rdf:type","study:dateiso","study.ttl"
"study:StudyParticipationInterval","                              sp:varName","""startstring""","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""startdate""","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""endstring""","study.ttl"
"study:StudyParticipationInterval","                      sp:predicate","study:dateTimeInXSDString","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""end""","study.ttl"
"study:StudyParticipationInterval","                      rdf:type","sp:Bind","study.ttl"
"study:StudyParticipationInterval","                          rdf:type","study:dateiso","study.ttl"
"study:StudyParticipationInterval","                              sp:varName","""endstring""","study.ttl"
"study:StudyParticipationInterval","                          sp:varName","""enddate""","study.ttl"
"study:StudyParticipationInterval","                sp:varName","""padmin""","study.ttl"
"study:StudyParticipationInterval","            sp:predicate","study:participatesIn","study.ttl"
"study:StudyParticipationInterval","                sp:varName","""s""","study.ttl"
"study:StudyParticipationInterval","            sp:object","study:CumulativeDrugAdministration","study.ttl"
"study:StudyParticipationInterval","            sp:predicate","rdf:type","study.ttl"
"study:StudyParticipationInterval","                sp:varName","""padmin""","study.ttl"
"study:StudyParticipationInterval","            sp:object","spin:_this","study.ttl"
"study:StudyParticipationInterval","            sp:predicate","study:hasInterval","study.ttl"
"study:StudyParticipationInterval","                sp:varName","""padmin""","study.ttl"
"study:StudyParticipationInterval","            sp:object","study:CumulativeDrugAdministrationInterval","study.ttl"
"study:StudyParticipationInterval","            sp:predicate","rdf:type","study.ttl"
"study:StudyParticipationInterval","            sp:subject","spin:_this","study.ttl"
"study:StudyParticipationInterval","            rdf:type","sp:Bind","study.ttl"
"study:StudyParticipationInterval","                rdf:type","xsd:string","study.ttl"
"study:StudyParticipationInterval","                    sp:varName","""refstartdate""","study.ttl"
"study:StudyParticipationInterval","                sp:varName","""refstartdatestring""","study.ttl"
"study:StudyParticipationInterval","            rdf:type","sp:Bind","study.ttl"
"study:StudyParticipationInterval","                rdf:type","xsd:string","study.ttl"
"study:StudyParticipationInterval","                    sp:varName","""refenddate""","study.ttl"
"study:StudyParticipationInterval","                sp:varName","""refenddatestring""","study.ttl"
"study:StudyParticipationInterval","                sp:varName","""refstartdatestring""","study.ttl"
"study:StudyParticipationInterval","            sp:predicate","study:dateTimeInXSDString","study.ttl"
"study:StudyParticipationInterval","                sp:varName","""d1""","study.ttl"
"study:StudyParticipationInterval","                sp:varName","""refenddatestring""","study.ttl"
"study:StudyParticipationInterval","            sp:predicate","study:dateTimeInXSDString","study.ttl"
"study:StudyParticipationInterval","                sp:varName","""d2""","study.ttl"
"study:StudyParticipationInterval","      rdfs:comment","""Calculate Reference Exposre Start and End dates from exposure data""","study.ttl"
"study:StudyParticipationInterval","  rdfs:comment","""""","study.ttl"
"study:StudyParticipationInterval","  rdfs:subClassOf","time:Interval","study.ttl"
"study:StudyParticipationInterval","  skos:definition","""""","study.ttl"
"study:StudyParticipationInterval","  skos:prefLabel","""Study participation interval""","study.ttl"
"study:Subcategory","  rdf:type","owl:Class","study.ttl"
"study:Subcategory","  rdfs:subClassOf","study:Entity","study.ttl"
"study:Subcategory","  skos:altLabel","""""","study.ttl"
"study:Subcategory","  skos:prefLabel","""Subcategory""","study.ttl"
"study:SubjectIdentifier","  rdf:type","owl:Class","study.ttl"
"study:SubjectIdentifier","  rdfs:subClassOf","study:Identifier","study.ttl"
"study:SubjectIdentifier","  skos:prefLabel","""Subject identifier""","study.ttl"
"study:Substance","  rdf:type","owl:Class","study.ttl"
"study:Substance","  rdfs:subClassOf","study:Entity","study.ttl"
"study:Substance","  skos:altLabel","""""","study.ttl"
"study:Substance","  skos:prefLabel","""Substance""","study.ttl"
"study:SubstanceQuantity","  rdf:type","owl:Class","study.ttl"
"study:SubstanceQuantity","  rdfs:subClassOf","study:Entity","study.ttl"
"study:SubstanceQuantity","  skos:prefLabel","""Substance quantity""","study.ttl"
"study:TemperatureOutcome","  rdf:type","owl:Class","study.ttl"
"study:TemperatureOutcome","  rdfs:subClassOf","study:NumericOutcome","study.ttl"
"study:TemperatureOutcome","  rdfs:subClassOf","study:VitalSignOutcome","study.ttl"
"study:TemperatureOutcome","      rdf:type","owl:Restriction","study.ttl"
"study:TemperatureOutcome","      owl:allValuesFrom","code:TemperatureUnit","study.ttl"
"study:TemperatureOutcome","      owl:onProperty","code:hasUnit","study.ttl"
"study:TemperatureOutcome","  skos:prefLabel","""Temperature outcome""","study.ttl"
"study:UniqueSubjectIdentifier","  rdf:type","owl:Class","study.ttl"
"study:UniqueSubjectIdentifier","  rdfs:subClassOf","study:Identifier","study.ttl"
"study:UniqueSubjectIdentifier","  skos:prefLabel","""Unique subject identifier""","study.ttl"
"study:UnscheduledVisitActivity","  rdf:type","owl:Class","study.ttl"
"study:UnscheduledVisitActivity","  rdfs:subClassOf","study:VisitActivity","study.ttl"
"study:UnscheduledVisitActivity","  skos:altLabel","""""","study.ttl"
"study:UnscheduledVisitActivity","  skos:prefLabel","""UNSCHEDULED VISIT ACTIVITY""","study.ttl"
"study:Visit","  rdf:type","owl:Class","study.ttl"
"study:Visit","  rdfs:subClassOf","study:StudyActivity","study.ttl"
"study:Visit","  skos:definition","""Any StudyActivity whose main focus is an interaction with the investigational staff, usually intended to collect and/or assess observations. ""","study.ttl"
"study:Visit","  skos:note","""A Visit may be virtual (phone, teleconference etc.)""","study.ttl"
"study:Visit","  skos:prefLabel","""VISIT""","study.ttl"
"study:VisitActivity","  rdf:type","owl:Class","study.ttl"
"study:VisitActivity","  rdfs:comment","""""","study.ttl"
"study:VisitActivity","  rdfs:subClassOf","study:StudyActivity","study.ttl"
"study:VisitActivity","  skos:definition","""A study activity that takes place or begins during a visit""","study.ttl"
"study:VisitActivity","  skos:note","""A drug administration activity may begin during the visit and may continue past the visit end date.""","study.ttl"
"study:VisitActivity","  skos:prefLabel","""Visit Activity""","study.ttl"
"study:VisitDate","  rdf:type","owl:Class","study.ttl"
"study:VisitDate","  rdfs:comment","""""","study.ttl"
"study:VisitDate","  rdfs:subClassOf","study:ActivityDate","study.ttl"
"study:VisitDate","  skos:definition","""""","study.ttl"
"study:VisitDate","  skos:prefLabel","""Visit begin""","study.ttl"
"study:VitalSign","  rdf:type","owl:Class","study.ttl"
"study:VitalSign","  rdfs:comment","""""","study.ttl"
"study:VitalSign","  rdfs:subClassOf","study:Observation","study.ttl"
"study:VitalSign","      rdf:type","owl:Restriction","study.ttl"
"study:VitalSign","      owl:allValuesFrom","study:VitalSignOutcome","study.ttl"
"study:VitalSign","      owl:onProperty","code:outcome","study.ttl"
"study:VitalSign","  skos:definition","""""","study.ttl"
"study:VitalSign","  skos:prefLabel","""VitalSign""","study.ttl"
"study:VitalSignOutcome","  rdf:type","owl:Class","study.ttl"
"study:VitalSignOutcome","  rdfs:subClassOf","study:ObservationOutcome","study.ttl"
"study:VitalSignOutcome","  skos:prefLabel","""Vital sign outcome""","study.ttl"
"study:WeightOutcome","  rdf:type","owl:Class","study.ttl"
"study:WeightOutcome","  rdfs:subClassOf","study:NumericOutcome","study.ttl"
"study:WeightOutcome","  rdfs:subClassOf","study:VitalSignOutcome","study.ttl"
"study:WeightOutcome","      rdf:type","owl:Restriction","study.ttl"
"study:WeightOutcome","      owl:allValuesFrom","code:WeightUnit","study.ttl"
"study:WeightOutcome","      owl:onProperty","code:hasUnit","study.ttl"
"study:WeightOutcome","  skos:prefLabel","""Weight mass outcome""","study.ttl"
"study:activityStatus","  rdf:type","owl:FunctionalProperty","study.ttl"
"study:activityStatus","  rdf:type","owl:ObjectProperty","study.ttl"
"study:activityStatus","  rdfs:comment","""""","study.ttl"
"study:activityStatus","  rdfs:domain","study:StudyActivity","study.ttl"
"study:activityStatus","  rdfs:range","study:ActivityStatus","study.ttl"
"study:activityStatus","  skos:definition","""""","study.ttl"
"study:activityStatus","  skos:prefLabel","""activity status""","study.ttl"
"study:actualArm","  rdf:type","owl:FunctionalProperty","study.ttl"
"study:actualArm","  rdf:type","owl:ObjectProperty","study.ttl"
"study:actualArm","  rdfs:comment","""""","study.ttl"
"study:actualArm","  rdfs:domain","study:EnrolledSubject","study.ttl"
"study:actualArm","  rdfs:range","study:Arm","study.ttl"
"study:actualArm","  skos:definition","""""","study.ttl"
"study:actualArm","  skos:prefLabel","""actual arm""","study.ttl"
"study:administeredDrug","  rdf:type","owl:ObjectProperty","study.ttl"
"study:administeredDrug","  rdfs:domain","study:FixedDoseDrugAdministration","study.ttl"
"study:administeredDrug","  rdfs:range","study:Product","study.ttl"
"study:administeredDrug","  skos:prefLabel","""has route of administration""","study.ttl"
"study:agecalc","  rdf:type","spin:Function","study.ttl"
"study:agecalc","      rdf:type","sp:Select","study.ttl"
"study:agecalc","            sp:varName","""age""","study.ttl"
"study:agecalc","            rdf:type","sp:Bind","study.ttl"
"study:agecalc","                rdf:type","xsd:date","study.ttl"
"study:agecalc","                    rdf:type","sp:substr","study.ttl"
"study:agecalc","                        sp:varName","""birthdate""","study.ttl"
"study:agecalc","                    sp:arg2","1","study.ttl"
"study:agecalc","                    sp:arg3","10","study.ttl"
"study:agecalc","                sp:varName","""bdate""","study.ttl"
"study:agecalc","            rdf:type","sp:Bind","study.ttl"
"study:agecalc","                rdf:type","xsd:date","study.ttl"
"study:agecalc","                    rdf:type","sp:substr","study.ttl"
"study:agecalc","                        sp:varName","""refdate""","study.ttl"
"study:agecalc","                    sp:arg2","1","study.ttl"
"study:agecalc","                    sp:arg3","10","study.ttl"
"study:agecalc","                sp:varName","""rfd""","study.ttl"
"study:agecalc","            rdf:type","sp:Bind","study.ttl"
"study:agecalc","                rdf:type","smf:duration","study.ttl"
"study:agecalc","                sp:arg1","""y""","study.ttl"
"study:agecalc","                    sp:varName","""bdate""","study.ttl"
"study:agecalc","                    sp:varName","""rfd""","study.ttl"
"study:agecalc","                sp:varName","""age""","study.ttl"
"study:agecalc","      rdf:type","spl:Argument","study.ttl"
"study:agecalc","      spl:predicate","arg:birthdate","study.ttl"
