"","s","p","o","mapFile"
"696","code:RuleOutcome_FALSE","  skos:prefLabel","""Rule outcome FALSE""","code.ttl"
"697","code:RuleOutcome_FALSE","  code:hasValue","""false""^^xsd:boolean","code.ttl"
"698","code:RuleOutcome_NA","  rdf:type","code:RuleOutcome","code.ttl"
"699","code:RuleOutcome_NA","  code:hasValue","""NOT-APPLICABLE""","code.ttl"
"700","code:RuleOutcome_TRUE","  rdf:type","code:RuleOutcome","code.ttl"
"701","code:RuleOutcome_TRUE","  skos:prefLabel","""Rule outcome TRUE""","code.ttl"
"702","code:RuleOutcome_TRUE","  code:hasValue","""true""^^xsd:boolean","code.ttl"
"703","code:Sex","  rdf:type","owl:Class","code.ttl"
"704","code:Sex","  rdfs:comment","""""","code.ttl"
"705","code:Sex","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"706","code:Sex","  rdfs:subClassOf","code:DemographicData","code.ttl"
"707","code:Sex","  skos:definition","""""","code.ttl"
"708","code:Sex","  skos:prefLabel","""SEX""","code.ttl"
"709","code:Sex","  code:isExtensible","""false""^^xsd:boolean","code.ttl"
"710","code:SexDataCollection","  rdf:type","owl:Class","code.ttl"
"711","code:SexDataCollection","  rdfs:subClassOf","code:DemographicDataCollection","code.ttl"
"712","code:SexDataCollection","      rdf:type","owl:Restriction","code.ttl"
"713","code:SexDataCollection","      owl:allValuesFrom","code:Sex","code.ttl"
"714","code:SexDataCollection","      owl:onProperty","code:outcome","code.ttl"
"715","code:SexDataCollection","      rdf:type","owl:Restriction","code.ttl"
"716","code:SexDataCollection","      owl:cardinality","""1""^^xsd:nonNegativeInteger","code.ttl"
"717","code:SexDataCollection","      owl:onProperty","code:outcome","code.ttl"
"718","code:SexGroup","  rdf:type","owl:Class","code.ttl"
"719","code:SexGroup","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"720","code:SexGroup","      rdf:type","owl:Restriction","code.ttl"
"721","code:SexGroup","      owl:hasValue","code:CodeSystem_CDISCTerminology","code.ttl"
"722","code:SexGroup","      owl:onProperty","code:hasCodeSystem","code.ttl"
"723","code:SexGroup","  skos:prefLabel","""Sex group""","code.ttl"
"724","code:Sex_F","  rdf:type","code:Sex","code.ttl"
"725","code:Sex_F","  skos:altLabel","""""","code.ttl"
"726","code:Sex_F","  skos:prefLabel","""F""","code.ttl"
"727","code:Sex_M","  rdf:type","code:Sex","code.ttl"
"728","code:Sex_M","  skos:altLabel","""""","code.ttl"
"729","code:Sex_M","  skos:prefLabel","""M""","code.ttl"
"730","code:Sex_U","  rdf:type","code:Sex","code.ttl"
"731","code:Sex_U","  skos:altLabel","""""","code.ttl"
"732","code:Sex_U","  skos:prefLabel","""U""","code.ttl"
"733","code:Sex_UN","  rdf:type","code:Sex","code.ttl"
"734","code:Sex_UN","  skos:altLabel","""""","code.ttl"
"735","code:Sex_UN","  skos:prefLabel","""UN""","code.ttl"
"736","code:Sponsor","  rdf:type","owl:Class","code.ttl"
"737","code:Sponsor","  rdfs:label","""Sponsor""","code.ttl"
"738","code:Sponsor","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"739","code:Sponsor_CDISCPILOT01","  rdf:type","code:Sponsor","code.ttl"
"740","code:Sponsor_CDISCPILOT01","  skos:prefLabel","""CDISCPILOT01""","code.ttl"
"741","code:StandardFormat","  rdf:type","owl:Class","code.ttl"
"742","code:StandardFormat","  rdfs:subClassOf","code:CodeSystem","code.ttl"
"743","code:StandardFormat","  skos:prefLabel","""Standard format""","code.ttl"
"744","code:StudyType","  rdf:type","owl:Class","code.ttl"
"745","code:StudyType","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"746","code:StudyType","      rdf:type","owl:Restriction","code.ttl"
"747","code:StudyType","      owl:hasValue","code:CodeSystem_CDISCTerminology","code.ttl"
"748","code:StudyType","      owl:onProperty","code:hasCodeSystem","code.ttl"
"749","code:StudyType","  skos:prefLabel","""Study type""","code.ttl"
"750","code:Substance","  rdf:type","owl:Class","code.ttl"
"751","code:Substance","  rdfs:comment","""""","code.ttl"
"752","code:Substance","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"753","code:Substance","  skos:definition","""""","code.ttl"
"754","code:Substance","  skos:prefLabel","""Substance term""","code.ttl"
"755","code:SubstanceQuantity","  rdf:type","owl:Class","code.ttl"
"756","code:SubstanceQuantity","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"757","code:SubstanceQuantity","  skos:definition","""Describes the name of the substance and the amount of the substance used in a unit dosage form (e.g. tablet, patch) of the product""","code.ttl"
"758","code:SubstanceQuantity","  skos:prefLabel","""Substance quantity""","code.ttl"
"759","code:Substance_xanomeline","  rdf:type","code:ActiveSubstance","code.ttl"
"760","code:Substance_xanomeline","  skos:prefLabel","""XANOMELINE""","code.ttl"
"761","code:Substance_xanomeline","  code:hasCode","""9ORI6L73CJ""","code.ttl"
"762","code:Substance_xanomeline","  code:hasCodeSystem","code:CodeSystem_UNII","code.ttl"
"763","code:Substance_xanomeline","  code:pharmacologicClass","code:PharmClass_ACReleaseInhib","code.ttl"
"764","code:Successfully_Completed","  rdf:type","code:GenericOutcome","code.ttl"
"765","code:Successfully_Completed","  skos:prefLabel","""Successfully Completed""","code.ttl"
"766","code:SystolicBloodPressure","  rdf:type","owl:Class","code.ttl"
"767","code:SystolicBloodPressure","  rdf:type","mms:PermissibleValue","code.ttl"
"768","code:SystolicBloodPressure","  rdfs:subClassOf","code:BloodPressure","code.ttl"
"769","code:SystolicBloodPressure","      rdf:type","owl:Restriction","code.ttl"
"770","code:SystolicBloodPressure","      owl:allValuesFrom","code:SystolicBloodPressureOutcome","code.ttl"
"771","code:SystolicBloodPressure","      owl:onProperty","code:outcome","code.ttl"
"772","code:SystolicBloodPressure","      rdf:type","owl:Restriction","code.ttl"
"773","code:SystolicBloodPressure","      owl:hasValue","""SYSBP""","code.ttl"
"774","code:SystolicBloodPressure","      owl:onProperty","skos:prefLabel","code.ttl"
"775","code:SystolicBloodPressure","      rdf:type","owl:Restriction","code.ttl"
"776","code:SystolicBloodPressure","      owl:hasValue","""Systolic Blood Pressure""","code.ttl"
"777","code:SystolicBloodPressure","      owl:onProperty","skos:altLabel","code.ttl"
"778","code:SystolicBloodPressure","  skos:prefLabel","""Systolic Blood Pressure""","code.ttl"
"779","code:SystolicBloodPressure","  schema:cdiscDefinition","""The blood pressure during the contraction of the left ventricle of the heart.""","code.ttl"
"780","code:SystolicBloodPressure","  schema:cdiscSubmissionValue","""Systolic Blood Pressure""","code.ttl"
"781","code:SystolicBloodPressure","  schema:cdiscSynonyms","""Systolic Blood Pressure""","code.ttl"
"782","code:SystolicBloodPressure","  schema:nciCode","""C25298""","code.ttl"
"783","code:SystolicBloodPressure","  schema:nciPreferredTerm","""Systolic Blood Pressure""","code.ttl"
"784","code:SystolicBloodPressure","  mms:inValueDomain","sdtmterm:C67153","code.ttl"
"785","code:SystolicBloodPressureOutcome","  rdf:type","owl:Class","code.ttl"
"786","code:SystolicBloodPressureOutcome","  rdfs:label","""Systolic blood pressure outcome""","code.ttl"
"787","code:SystolicBloodPressureOutcome","  rdfs:subClassOf","code:BloodPressureOutcome","code.ttl"
"788","code:Temperature","  rdf:type","owl:Class","code.ttl"
"789","code:Temperature","  rdf:type","mms:PermissibleValue","code.ttl"
"790","code:Temperature","  rdfs:subClassOf","code:VitalSign","code.ttl"
"791","code:Temperature","      rdf:type","owl:Restriction","code.ttl"
"792","code:Temperature","      owl:allValuesFrom","code:TemperatureOutcome","code.ttl"
"793","code:Temperature","      owl:onProperty","code:outcome","code.ttl"
"794","code:Temperature","      rdf:type","owl:Restriction","code.ttl"
"795","code:Temperature","      owl:hasValue","""TEMP""","code.ttl"
"796","code:Temperature","      owl:onProperty","skos:prefLabel","code.ttl"
"797","code:Temperature","      rdf:type","owl:Restriction","code.ttl"
"798","code:Temperature","      owl:hasValue","""Temperature""","code.ttl"
"799","code:Temperature","      owl:onProperty","skos:altLabel","code.ttl"
"800","code:Temperature","  skos:prefLabel","""Temperature""","code.ttl"
"801","code:Temperature","  schema:cdiscDefinition","""The property of a body or region of space that determines whether or not there will be a net flow of heat into it or out of it from a neighboring body or region and in which direction (if any) the heat will flow, perceptible by living organism as a somatic sensation of cold or heat. It is a measure of the average translational kinetic energy associated with the disordered microscopic motion of atoms and molecules. Temperature is measured in one of the three standard temperature scales: Celsius, Kelvin, and Fahrenheit. (NCI)""","code.ttl"
"802","code:Temperature","  schema:cdiscSubmissionValue","""Temperature""","code.ttl"
"803","code:Temperature","  schema:cdiscSynonyms","""Temperature""","code.ttl"
"804","code:Temperature","  schema:nciCode","""C25206""","code.ttl"
"805","code:Temperature","  schema:nciPreferredTerm","""Temperature""","code.ttl"
"806","code:Temperature","  mms:inValueDomain","sdtmterm:C67153","code.ttl"
"807","code:TemperatureOutcome","  rdf:type","owl:Class","code.ttl"
"808","code:TemperatureOutcome","  rdfs:label","""Temperature outcome""","code.ttl"
"809","code:TemperatureOutcome","  rdfs:subClassOf","code:NumericOutcome","code.ttl"
"810","code:TemperatureOutcome","  rdfs:subClassOf","code:VitalSignsOutcome","code.ttl"
"811","code:TemperatureUnit","  rdf:type","owl:Class","code.ttl"
"812","code:TemperatureUnit","  rdfs:subClassOf","code:Unit","code.ttl"
"813","code:TemperatureUnit","  skos:altLabel","""""","code.ttl"
"814","code:TemperatureUnit","  skos:prefLabel","""Temperature unit""","code.ttl"
"815","code:TherapeuticIntervention","  rdf:type","owl:Class","code.ttl"
"816","code:TherapeuticIntervention","  rdfs:subClassOf","code:Intervention","code.ttl"
"817","code:TherapeuticIntervention","  skos:altLabel","""""","code.ttl"
"818","code:TherapeuticIntervention","  skos:definition","""An intervention whose goal is to modify the natural history of a medical condition.""","code.ttl"
"819","code:TherapeuticIntervention","  skos:prefLabel","""Therapeutic intervention""","code.ttl"
"820","code:TrialBlindingSchema","  rdf:type","owl:Class","code.ttl"
"821","code:TrialBlindingSchema","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"822","code:TrialBlindingSchema","      rdf:type","owl:Restriction","code.ttl"
"823","code:TrialBlindingSchema","      owl:hasValue","code:CodeSystem_CDISCTerminology","code.ttl"
"824","code:TrialBlindingSchema","      owl:onProperty","code:hasCodeSystem","code.ttl"
"825","code:TrialBlindingSchema","  skos:prefLabel","""Trial blinding schema""","code.ttl"
"826","code:TrialPhase","  rdf:type","owl:Class","code.ttl"
"827","code:TrialPhase","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"828","code:TrialPhase","      rdf:type","owl:Restriction","code.ttl"
"829","code:TrialPhase","      owl:hasValue","code:CodeSystem_CDISCTerminology","code.ttl"
"830","code:TrialPhase","      owl:onProperty","code:hasCodeSystem","code.ttl"
"831","code:TrialPhase","  skos:prefLabel","""Trial phase""","code.ttl"
"832","code:TrialType","  rdf:type","owl:Class","code.ttl"
"833","code:TrialType","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"834","code:TrialType","      rdf:type","owl:Restriction","code.ttl"
"835","code:TrialType","      owl:hasValue","code:CodeSystem_CDISCTerminology","code.ttl"
"836","code:TrialType","      owl:onProperty","code:hasCodeSystem","code.ttl"
"837","code:TrialType","  skos:prefLabel","""Trial type""","code.ttl"
"838","code:Unit","  rdf:type","owl:Class","code.ttl"
"839","code:Unit","  rdfs:comment","""""","code.ttl"
"840","code:Unit","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"841","code:Unit","  skos:definition","""""","code.ttl"
"842","code:Unit","  skos:prefLabel","""Unit term""","code.ttl"
"843","code:Unit_BEATS_MIN","  rdf:type","code:PulseUnit","code.ttl"
"844","code:Unit_BEATS_MIN","  rdf:type","code:Unit","code.ttl"
"845","code:Unit_BEATS_MIN","  rdf:type","code:VitalSignsUnit","code.ttl"
"846","code:Unit_BEATS_MIN","  skos:prefLabel","""BEATS/MIN""","code.ttl"
"847","code:Unit_C","  rdf:type","code:TemperatureUnit","code.ttl"
"848","code:Unit_C","  rdf:type","code:Unit","code.ttl"
"849","code:Unit_C","  rdf:type","code:VitalSignsUnit","code.ttl"
"850","code:Unit_C","  skos:prefLabel","""C""","code.ttl"
"851","code:Unit_F","  rdf:type","code:TemperatureUnit","code.ttl"
"852","code:Unit_F","  rdf:type","code:Unit","code.ttl"
"853","code:Unit_F","  rdf:type","code:VitalSignsUnit","code.ttl"
"854","code:Unit_F","  skos:prefLabel","""F""","code.ttl"
"855","code:Unit_IN","  rdf:type","code:HeightUnit","code.ttl"
"856","code:Unit_IN","  rdf:type","code:Unit","code.ttl"
"857","code:Unit_IN","  rdf:type","code:VitalSignsUnit","code.ttl"
"858","code:Unit_IN","  rdfs:comment","""""","code.ttl"
"859","code:Unit_IN","  skos:definition","""""","code.ttl"
"860","code:Unit_IN","  skos:prefLabel","""IN""","code.ttl"
"861","code:Unit_LB","  rdf:type","code:Unit","code.ttl"
"862","code:Unit_LB","  rdf:type","code:VitalSignsUnit","code.ttl"
"863","code:Unit_LB","  rdf:type","code:WeightUnit","code.ttl"
"864","code:Unit_LB","  skos:prefLabel","""LB""","code.ttl"
"865","code:Unit_cm","  rdf:type","code:HeightUnit","code.ttl"
"866","code:Unit_cm","  rdf:type","code:Unit","code.ttl"
"867","code:Unit_cm","  rdf:type","code:VitalSignsUnit","code.ttl"
"868","code:Unit_cm","  rdfs:comment","""""","code.ttl"
"869","code:Unit_cm","  skos:definition","""""","code.ttl"
"870","code:Unit_cm","  skos:prefLabel","""cm""","code.ttl"
"871","code:Unit_kg","  rdf:type","code:Unit","code.ttl"
"872","code:Unit_kg","  rdf:type","code:VitalSignsUnit","code.ttl"
"873","code:Unit_kg","  rdf:type","code:WeightUnit","code.ttl"
"874","code:Unit_kg","  skos:prefLabel","""kg""","code.ttl"
"875","code:Unit_mg","  rdf:type","code:Unit","code.ttl"
"876","code:Unit_mg","  rdf:type","code:WeightUnit","code.ttl"
"877","code:Unit_mg","  skos:prefLabel","""mg""","code.ttl"
"878","code:Unit_mmHG","  rdf:type","code:Unit","code.ttl"
"879","code:Unit_mmHG","  rdf:type","code:VitalSignsUnit","code.ttl"
"880","code:Unit_mmHG","  rdfs:comment","""""","code.ttl"
"881","code:Unit_mmHG","  skos:definition","""""","code.ttl"
"882","code:Unit_mmHG","  skos:prefLabel","""mmHg""","code.ttl"
"883","code:Version","  rdf:type","owl:DatatypeProperty","code.ttl"
"884","code:Version","  rdfs:range","xsd:string","code.ttl"
"885","code:Version","  skos:prefLabel","""Version""","code.ttl"
"886","code:VitalSign","  rdf:type","owl:Class","code.ttl"
"887","code:VitalSign","  rdfs:comment","""""","code.ttl"
"888","code:VitalSign","  rdfs:subClassOf","code:Observation","code.ttl"
"889","code:VitalSign","  skos:definition","""""","code.ttl"
"890","code:VitalSign","  skos:prefLabel","""Vital signs test name""","code.ttl"
"891","code:VitalSignsOutcome","  rdf:type","owl:Class","code.ttl"
"892","code:VitalSignsOutcome","  rdfs:label","""Vital signs outcome""","code.ttl"
"893","code:VitalSignsOutcome","  rdfs:subClassOf","code:ObservationOutcome","code.ttl"
"894","code:VitalSignsUnit","  rdf:type","owl:Class","code.ttl"
"895","code:VitalSignsUnit","  rdfs:subClassOf","code:Unit","code.ttl"
"896","code:VitalSignsUnit","  skos:prefLabel","""VSUNIT""","code.ttl"
"897","code:Weight","  rdf:type","owl:Class","code.ttl"
"898","code:Weight","  rdf:type","mms:PermissibleValue","code.ttl"
"899","code:Weight","  rdfs:subClassOf","code:VitalSign","code.ttl"
"900","code:Weight","      rdf:type","owl:Restriction","code.ttl"
"901","code:Weight","      owl:allValuesFrom","code:WeightOutcome","code.ttl"
"902","code:Weight","      owl:onProperty","code:outcome","code.ttl"
"903","code:Weight","      rdf:type","owl:Restriction","code.ttl"
"904","code:Weight","      owl:hasValue","""WEIGHT""","code.ttl"
"905","code:Weight","      owl:onProperty","skos:prefLabel","code.ttl"
"906","code:Weight","      rdf:type","owl:Restriction","code.ttl"
"907","code:Weight","      owl:hasValue","""Weight""","code.ttl"
"908","code:Weight","      owl:onProperty","skos:altLabel","code.ttl"
"909","code:Weight","  skos:prefLabel","""Weight""","code.ttl"
"910","code:Weight","  schema:cdiscDefinition","""The vertical force exerted by a mass as a result of gravity. (NCI)""","code.ttl"
"911","code:Weight","  schema:cdiscSubmissionValue","""Weight""","code.ttl"
"912","code:Weight","  schema:cdiscSynonyms","""Weight""","code.ttl"
"913","code:Weight","  schema:nciCode","""C25208""","code.ttl"
"914","code:Weight","  schema:nciPreferredTerm","""Weight""","code.ttl"
"915","code:Weight","  mms:inValueDomain","sdtmterm:C67153","code.ttl"
"916","code:WeightOutcome","  rdf:type","owl:Class","code.ttl"
"917","code:WeightOutcome","  rdfs:label","""Weight outcome""","code.ttl"
"918","code:WeightOutcome","  rdfs:subClassOf","code:NumericOutcome","code.ttl"
"919","code:WeightOutcome","  rdfs:subClassOf","code:VitalSignsOutcome","code.ttl"
"920","code:WeightUnit","  rdf:type","owl:Class","code.ttl"
"921","code:WeightUnit","  rdfs:subClassOf","code:Unit","code.ttl"
"922","code:WeightUnit","  skos:altLabel","""""","code.ttl"
"923","code:WeightUnit","  skos:prefLabel","""Weight unit""","code.ttl"
"924","code:hasAge","  rdf:type","owl:ObjectProperty","code.ttl"
"925","code:hasAge","  rdfs:domain","<https://w3id.org/phuse/study#Person>","code.ttl"
"926","code:hasAge","  rdfs:range","<https://w3id.org/phuse/study#AgeOutcome>","code.ttl"
"927","code:hasAge","  skos:altLabel","""""","code.ttl"
"928","code:hasAge","  skos:prefLabel","""has age""","code.ttl"
"929","code:hasCode","  rdf:type","owl:DatatypeProperty","code.ttl"
"930","code:hasCode","  skos:prefLabel","""has code""","code.ttl"
"931","code:hasCodeSystem","  rdf:type","owl:ObjectProperty","code.ttl"
"932","code:hasCodeSystem","  rdfs:range","code:CodeSystem","code.ttl"
"933","code:hasCodeSystem","  skos:prefLabel","""has code system""","code.ttl"
"934","code:hasConversionFactor","  rdf:type","owl:DatatypeProperty","code.ttl"
"935","code:hasConversionFactor","  rdfs:comment","""""","code.ttl"
"936","code:hasConversionFactor","  rdfs:domain","code:ConversionFactor","code.ttl"
"937","code:hasConversionFactor","  rdfs:range","xsd:float","code.ttl"
"938","code:hasConversionFactor","  skos:definition","""""","code.ttl"
"939","code:hasConversionFactor","  skos:prefLabel","""has conversion factor""","code.ttl"
"940","code:hasDosageForm","  rdf:type","owl:ObjectProperty","code.ttl"
"941","code:hasDosageForm","  rdfs:domain","code:DrugProduct","code.ttl"
"942","code:hasDosageForm","  rdfs:range","code:DosageForm","code.ttl"
"943","code:hasDosageForm","  skos:prefLabel","""has dosage form""","code.ttl"
"944","code:hasIdentifier","  rdf:type","owl:DatatypeProperty","code.ttl"
"945","code:hasIdentifier","  rdfs:comment","""""","code.ttl"
"946","code:hasIdentifier","  rdfs:domain","code:DefinedConcept","code.ttl"
"947","code:hasIdentifier","  rdfs:range","xsd:string","code.ttl"
"948","code:hasIdentifier","  skos:definition","""""","code.ttl"
"949","code:hasIdentifier","  skos:prefLabel","""has value""","code.ttl"
"950","code:hasIngredient","  rdf:type","owl:ObjectProperty","code.ttl"
"951","code:hasIngredient","  rdfs:comment","""""","code.ttl"
"952","code:hasIngredient","  rdfs:domain","code:SubstanceQuantity","code.ttl"
"953","code:hasIngredient","  rdfs:range","code:Substance","code.ttl"
"954","code:hasIngredient","  skos:definition","""""","code.ttl"
"955","code:hasIngredient","  skos:prefLabel","""has ingredient""","code.ttl"
"956","code:hasIngredientQuantity","  rdf:type","owl:ObjectProperty","code.ttl"
"957","code:hasIngredientQuantity","  rdfs:domain","code:Product","code.ttl"
"958","code:hasIngredientQuantity","  rdfs:range","code:SubstanceQuantity","code.ttl"
"959","code:hasIngredientQuantity","  skos:prefLabel","""has ingredient quantity""","code.ttl"
"960","code:hasMethod","  rdf:type","owl:ObjectProperty","code.ttl"
"961","code:hasMethod","  rdfs:comment","""""","code.ttl"
"962","code:hasMethod","  rdfs:range","code:Method","code.ttl"
"963","code:hasMethod","  skos:definition","""""","code.ttl"
"964","code:hasMethod","  skos:prefLabel","""has method""","code.ttl"
"965","code:hasNullFlavor","  rdf:type","owl:ObjectProperty","code.ttl"
"966","code:hasNullFlavor","  rdfs:range","code:NullFlavor","code.ttl"
"967","code:hasOriginalUnit","  rdf:type","owl:ObjectProperty","code.ttl"
"968","code:hasOriginalUnit","  rdfs:comment","""""","code.ttl"
"969","code:hasOriginalUnit","  rdfs:domain","code:ConversionFactor","code.ttl"
"970","code:hasOriginalUnit","  rdfs:range","code:Unit","code.ttl"
"971","code:hasOriginalUnit","  rdfs:subPropertyOf","code:hasUnit","code.ttl"
"972","code:hasOriginalUnit","  skos:definition","""""","code.ttl"
"973","code:hasOriginalUnit","  skos:prefLabel","""has original unit""","code.ttl"
"974","code:hasStandardUnit","  rdf:type","owl:ObjectProperty","code.ttl"
"975","code:hasStandardUnit","  rdfs:comment","""""","code.ttl"
"976","code:hasStandardUnit","  rdfs:domain","code:ConversionFactor","code.ttl"
"977","code:hasStandardUnit","  rdfs:range","code:Unit","code.ttl"
"978","code:hasStandardUnit","  rdfs:subPropertyOf","code:hasUnit","code.ttl"
"979","code:hasStandardUnit","  skos:definition","""""","code.ttl"
"980","code:hasStandardUnit","  skos:prefLabel","""has normalized unit""","code.ttl"
"981","code:hasUnit","  rdf:type","owl:FunctionalProperty","code.ttl"
"982","code:hasUnit","  rdf:type","owl:ObjectProperty","code.ttl"
"983","code:hasUnit","  rdfs:comment","""""","code.ttl"
"984","code:hasUnit","  rdfs:domain","code:DefinedActivityOutcome","code.ttl"
"985","code:hasUnit","  rdfs:range","code:Unit","code.ttl"
"986","code:hasUnit","  skos:definition","""""","code.ttl"
"987","code:hasUnit","  skos:prefLabel","""has unit""","code.ttl"
"988","code:hasValue","  rdf:type","owl:DatatypeProperty","code.ttl"
"989","code:hasValue","  rdfs:comment","""""","code.ttl"
"990","code:hasValue","  rdfs:domain","code:DefinedActivityOutcome","code.ttl"
"991","code:hasValue","  skos:definition","""""","code.ttl"
"992","code:hasValue","  skos:prefLabel","""has value""","code.ttl"
"993","code:indicationCondition","  rdf:type","owl:ObjectProperty","code.ttl"
"994","code:indicationCondition","  rdfs:domain","code:Indication","code.ttl"
"995","code:indicationCondition","  rdfs:range","code:MedicalCondition","code.ttl"
"996","code:indicationCondition","  skos:prefLabel","""indication condition""","code.ttl"
"997","code:indicationType","  rdf:type","owl:ObjectProperty","code.ttl"
"998","code:indicationType","  rdfs:domain","code:Indication","code.ttl"
"999","code:indicationType","  rdfs:range","code:IndicationType","code.ttl"
"1000","code:indicationType","  skos:prefLabel","""indication type""","code.ttl"
"1001","code:isExtensible","  rdf:type","owl:DatatypeProperty","code.ttl"
"1002","code:isExtensible","  rdfs:domain","code:CategoricalOutcome","code.ttl"
"1003","code:isExtensible","  rdfs:label","""is extensible""","code.ttl"
"1004","code:isExtensible","  rdfs:range","xsd:boolean","code.ttl"
"1005","code:outcome","  rdf:type","owl:ObjectProperty","code.ttl"
"1006","code:outcome","  rdfs:comment","""""","code.ttl"
"1007","code:outcome","  skos:definition","""""","code.ttl"
"1008","code:outcome","  skos:prefLabel","""has outcome""","code.ttl"
"1009","code:pharmacologicClass","  rdf:type","owl:ObjectProperty","code.ttl"
"1010","code:pharmacologicClass","  rdfs:domain","code:ActiveSubstance","code.ttl"
"1011","code:pharmacologicClass","  rdfs:range","code:PharmacologicClass","code.ttl"
"1012","code:pharmacologicClass","  skos:prefLabel","""phamacologic class""","code.ttl"
"1013","code:randomizationQuotient","  rdf:type","owl:DatatypeProperty","code.ttl"
"1014","code:randomizationQuotient","  rdfs:comment","""""","code.ttl"
"1015","code:randomizationQuotient","  rdfs:range","xsd:float","code.ttl"
"1016","code:randomizationQuotient","  skos:definition","""""","code.ttl"
"1017","code:randomizationQuotient","  skos:prefLabel","""randomization quotient""","code.ttl"
"1018","code:randomizationQuotient","  code:randomizationQuotient","""0.67""^^xsd:float","code.ttl"
"1019","code:recFreqOfAdministration","  rdf:type","owl:ObjectProperty","code.ttl"
"1020","code:recFreqOfAdministration","  rdfs:domain","code:DrugProduct","code.ttl"
"1021","code:recFreqOfAdministration","  rdfs:range","code:DosageFrequency","code.ttl"
"1022","code:recFreqOfAdministration","  skos:prefLabel","""rec freq of administration""","code.ttl"
"1023","code:recRouteOfAdministration","  rdf:type","owl:ObjectProperty","code.ttl"
"1024","code:recRouteOfAdministration","  rdfs:domain","code:Product","code.ttl"
"1025","code:recRouteOfAdministration","  rdfs:range","code:RouteOfAdministration","code.ttl"
"1026","code:recRouteOfAdministration","  skos:prefLabel","""recommended route of administration""","code.ttl"
"1027","code:underlyingCondition","  rdf:type","owl:ObjectProperty","code.ttl"
"1028","code:underlyingCondition","  rdfs:domain","code:Indication","code.ttl"
"1029","code:underlyingCondition","  rdfs:range","code:MedicalCondition","code.ttl"
"1030","code:underlyingCondition","  skos:prefLabel","""underlying condition""","code.ttl"
"1031","code:unitConversion","  rdf:type","spin:Function","code.ttl"
"1032","code:unitConversion","      rdf:type","sp:Select","code.ttl"
"1033","code:unitConversion","            sp:varName","""normResult""","code.ttl"
"1034","code:unitConversion","                sp:varName","""orresu""","code.ttl"
"1035","code:unitConversion","            sp:predicate","code:hasUnit","code.ttl"
"1036","code:unitConversion","                sp:varName","""origResult""","code.ttl"
"1037","code:unitConversion","                sp:varName","""orres""","code.ttl"
"1038","code:unitConversion","            sp:predicate","code:hasValue","code.ttl"
"1039","code:unitConversion","                sp:varName","""origResult""","code.ttl"
"1040","code:unitConversion","                sp:varName","""orresu""","code.ttl"
"1041","code:unitConversion","            sp:predicate","code:hasOriginalUnit","code.ttl"
"1042","code:unitConversion","                sp:varName","""convfactor""","code.ttl"
"1043","code:unitConversion","            rdf:type","sp:Optional","code.ttl"
"1044","code:unitConversion","                      sp:varName","""cfn""","code.ttl"
"1045","code:unitConversion","                  sp:predicate","code:hasConversionFactor","code.ttl"
"1046","code:unitConversion","                      sp:varName","""convfactor""","code.ttl"
"1047","code:unitConversion","            rdf:type","sp:Bind","code.ttl"
"1048","code:unitConversion","                rdf:type","sp:if","code.ttl"
"1049","code:unitConversion","                    rdf:type","sp:eq","code.ttl"
"1050","code:unitConversion","                        sp:varName","""orresu""","code.ttl"
"1051","code:unitConversion","                    sp:arg2","code:Unit_F","code.ttl"
"1052","code:unitConversion","                    rdf:type","spif:decimalFormat","code.ttl"
"1053","code:unitConversion","                        rdf:type","sp:mul","code.ttl"
"1054","code:unitConversion","                            rdf:type","sp:sub","code.ttl"
"1055","code:unitConversion","                                sp:varName","""orres""","code.ttl"
"1056","code:unitConversion","                            sp:arg2","32","code.ttl"
"1057","code:unitConversion","                            rdf:type","sp:divide","code.ttl"
"1058","code:unitConversion","                            sp:arg1","5","code.ttl"
"1059","code:unitConversion","                            sp:arg2","9","code.ttl"
"1060","code:unitConversion","                    sp:arg2","""#.#""","code.ttl"
"1061","code:unitConversion","                    rdf:type","spif:decimalFormat","code.ttl"
"1062","code:unitConversion","                        rdf:type","sp:mul","code.ttl"
"1063","code:unitConversion","                            sp:varName","""orres""","code.ttl"
"1064","code:unitConversion","                            sp:varName","""cfn""","code.ttl"
"1065","code:unitConversion","                    sp:arg2","""#""","code.ttl"
"1066","code:unitConversion","                sp:varName","""normResult""","code.ttl"
"1067","code:unitConversion","      rdf:type","spl:Argument","code.ttl"
"1068","code:unitConversion","      spl:predicate","arg:origResult","code.ttl"
"1069","code:unitConversion","      spl:valueType","rdfs:Resource","code.ttl"
"1070","code:unitConversion","  rdfs:subClassOf","spin:Functions","code.ttl"
"1071","code:unitConversion","  skos:prefLabel","""Unit conversion""","code.ttl"
"1072","code:unitConversionChar","  rdf:type","spin:Function","code.ttl"
